solver,N_cells,dt_ms,wall_time,cpu_time,nst,run_dir
explicit_euler,100,1,0.71149,0.71128,50058,[euler_comparison]/explicit_N100
explicit_euler,200,1,1.3705,1.3699,50058,[euler_comparison]/explicit_N200
explicit_euler,400,1,2.7,2.6994,50058,[euler_comparison]/explicit_N400
explicit_euler,800,1,5.3872,5.3858,50058,[euler_comparison]/explicit_N800
implicit_euler,100,5,4.1197,4.1192,10046,[euler_comparison]/implicit_N100_dt5ms
implicit_euler,200,5,8.4037,8.4019,10046,[euler_comparison]/implicit_N200_dt5ms
implicit_euler,400,5,16.871,16.867,10046,[euler_comparison]/implicit_N400_dt5ms
implicit_euler,800,5,33.381,33.375,10046,[euler_comparison]/implicit_N800_dt5ms
implicit_euler,100,10,2.2072,2.2069,5064,[euler_comparison]/implicit_N100_dt10ms
implicit_euler,200,10,4.3011,4.2999,5064,[euler_comparison]/implicit_N200_dt10ms
implicit_euler,400,10,8.5072,8.5056,5064,[euler_comparison]/implicit_N400_dt10ms
implicit_euler,800,10,17.348,17.345,5064,[euler_comparison]/implicit_N800_dt10ms
implicit_euler,100,25,0.88972,0.88942,2074,[euler_comparison]/implicit_N100_dt25ms
implicit_euler,200,25,1.7699,1.7693,2074,[euler_comparison]/implicit_N200_dt25ms
implicit_euler,400,25,3.5827,3.582,2074,[euler_comparison]/implicit_N400_dt25ms
implicit_euler,800,25,7.2352,7.2338,2074,[euler_comparison]/implicit_N800_dt25ms
implicit_euler,100,50,0.46598,0.46544,1048,[euler_comparison]/implicit_N100_dt50ms
implicit_euler,200,50,0.93143,0.93131,1048,[euler_comparison]/implicit_N200_dt50ms
implicit_euler,400,50,1.9179,1.9175,1048,[euler_comparison]/implicit_N400_dt50ms
implicit_euler,800,50,3.8219,3.8204,1048,[euler_comparison]/implicit_N800_dt50ms
implicit_euler,100,100,0.25847,0.25832,525,[euler_comparison]/implicit_N100_dt100ms
implicit_euler,200,100,0.50375,0.50318,525,[euler_comparison]/implicit_N200_dt100ms
implicit_euler,400,100,1.0156,1.0154,525,[euler_comparison]/implicit_N400_dt100ms
implicit_euler,800,100,2.0152,2.0147,525,[euler_comparison]/implicit_N800_dt100ms
