solver,N_cells,wall_time,cpu_time,nst,nfe,nje,bdf_order_last,run_dir
explicit_euler,50,0.33289,0.33285,50058,50058,0,-1,[wall_time_data]/explicit_euler_1
explicit_euler,100,0.65024,0.65019,50058,50058,0,-1,[wall_time_data]/explicit_euler_2
explicit_euler,200,1.2887,1.2883,50058,50058,0,-1,[wall_time_data]/explicit_euler_3
explicit_euler,400,2.5743,2.5738,50058,50058,0,-1,[wall_time_data]/explicit_euler_4
explicit_euler,800,5.0666,5.0657,50058,50058,0,-1,[wall_time_data]/explicit_euler_5
explicit_euler,1000,6.3139,6.3128,50058,50058,0,-1,[wall_time_data]/explicit_euler_6
implicit_euler,50,1.0598,1.0597,5064,118051,5067,1,[wall_time_data]/implicit_euler_1
implicit_euler,100,2.0463,2.046,5064,118838,5067,1,[wall_time_data]/implicit_euler_2
implicit_euler,200,4.0982,4.0975,5064,119397,5070,1,[wall_time_data]/implicit_euler_3
implicit_euler,400,8.1837,8.1825,5064,119479,5070,1,[wall_time_data]/implicit_euler_4
implicit_euler,800,16.924,16.922,5064,120581,5071,1,[wall_time_data]/implicit_euler_5
implicit_euler,1000,21.345,21.342,5064,120594,5071,1,[wall_time_data]/implicit_euler_6
odepack,50,1.1333,1.1332,5480,126232,5327,1,[wall_time_data]/odepack_1
odepack,100,1.032,1.0317,3844,56711,2315,4,[wall_time_data]/odepack_2
odepack,200,7.4534,7.4523,10552,208294,8694,4,[wall_time_data]/odepack_3
odepack,400,28.554,28.55,18911,406239,16993,4,[wall_time_data]/odepack_4
odepack,800,62.433,62.424,22856,448877,18661,1,[wall_time_data]/odepack_5
odepack,1000,52.105,52.097,19090,301607,12320,5,[wall_time_data]/odepack_6
